med,indication
ceftriaxone,escherichia coli
ceftriaxone,clostridium
ceftriaxone,enteritis
ceftriaxone,salmonella infections
ceftriaxone,proctocolitis
ceftriaxone,acinetobacter
cefuroxime,impetigo
cefuroxime,pneumonia
cefuroxime,sinusitis
cefuroxime,meningitis bacterial
cefuroxime,gonorrhea
cefuroxime,pharyngitis
cefuroxime,sepsis
cefuroxime,haemophilus
cefuroxime,proteus
cefuroxime,urinary tract infection
cefuroxime,bacterial infection
cefuroxime,lyme disease
cefuroxime,escherichia coli
cefuroxime,klebsiella
cefadroxil,impetigo
cefadroxil,proteus
cefadroxil,pharyngitis
cefadroxil,infective endocarditis
cefadroxil,urinary tract infection
cefadroxil,bacterial infection
cefadroxil,escherichia coli
cefadroxil,klebsiella
cephalexin,pneumonia
cephalexin,otitis media
cephalexin,cellulitis
cephalexin,streptococcus
cephalexin,moraxella
cephalexin,staphylococcus
cephalexin,proteus
cephalexin,pharyngitis
cephalexin,haemophilus
cephalexin,infective endocarditis
cephalexin,urinary tract infection
cephalexin,bacterial infection
cephalexin,chronic kidney failure
cephalexin,escherichia coli
cephalexin,klebsiella
cephalexin,human bite
dimercaprol,mercury poisoning
dimercaprol,arsenic poisoning
dimercaprol,lead poisoning
succimer,lead poisoning
bleomycin,testicular neoplasms
bleomycin,hodgkin disease
bleomycin,lymphoma
bleomycin,melanoma
bleomycin,sarcoma
bleomycin,testicular neoplasms
bleomycin,melanoma
bleomycin,hematologic cancer
bleomycin,squamous cell carcinoma
bleomycin,lymphatic system cancer
bleomycin,skin cancer
bleomycin,germ cell cancer
bleomycin,choriocarcinoma
bleomycin,teratocarcinoma
busulfan,colon cancer
busulfan,leukemias
busulfan,myelofibrosis
busulfan,hematologic cancer
busulfan,polycythemia vera
chlorambucil,testicular neoplasms
chlorambucil,hodgkin disease
chlorambucil,breast cancer
chlorambucil,thrombocytosis
chlorambucil,malignancy
chlorambucil,lymphoma
chlorambucil,ovarian neoplasm
chlorambucil,leukemias
chlorambucil,ovarian neoplasm
chlorambucil,testicular neoplasms
chlorambucil,hematologic cancer
chlorambucil,waldenstrom macroglobulinemia
chlorambucil,choriocarcinoma
chlormethine,prostatic neoplasms
clofarabine,hematologic cancer
cytarabine,colon cancer
cytarabine,lymphoma
cytarabine,leukemias
cytarabine,hematologic cancer
cytarabine,meningeal neoplasms
cytarabine,lymphatic system cancer
cytarabine,meningioma
dacarbazine,hodgkin disease
dacarbazine,fibrosarcoma
dacarbazine,neuroblastoma
dacarbazine,sarcoma
dacarbazine,melanoma
dacarbazine,not_found
dacarbazine,melanoma
dacarbazine,hematologic cancer
dacarbazine,medullary carcinoma
dacarbazine,skin cancer
dacarbazine,pancreatic endocrine neoplasm
dacarbazine,pancreatic neoplasm
dacarbazine,peripheral nervous system neoplasm
dacarbazine,rhabdomyosarcoma
dactinomycin,testicular neoplasms
dactinomycin,retinoblastoma
dactinomycin,gestational trophoblastic disease
dactinomycin,neuroblastoma
dactinomycin,sarcoma
dactinomycin,not_found
dactinomycin,nephroblastoma
dactinomycin,ewings sarcoma
dactinomycin,melanoma
dactinomycin,uterine cancer
dactinomycin,ocular cancer
dactinomycin,melanoma
dactinomycin,testicular neoplasms
dactinomycin,kaposi sarcoma
dactinomycin,rhabdomyosarcoma
dactinomycin,skin cancer
dactinomycin,germ cell cancer
dactinomycin,peripheral nervous system neoplasm
dactinomycin,choriocarcinoma
dactinomycin,uterine neoplasms
dactinomycin,kidney neoplasm
dactinomycin,soft tissue neoplasms
daunorubicin,hematologic cancer
daunorubicin,leukemias
daunorubicin,lymphoma
decitabine,anemia
doxorubicin,testicular neoplasms
doxorubicin,pancreatic neoplasm
doxorubicin,neuroblastoma
doxorubicin,lymphoma
doxorubicin,sarcoma
doxorubicin,leukemias
doxorubicin,gastrointestinal neoplasms
doxorubicin,not_found
doxorubicin,not_found
doxorubicin,nephroblastoma
doxorubicin,uterine cancer
doxorubicin,prostatic neoplasms
doxorubicin,stomach cancer
doxorubicin,pancreatic neoplasm
doxorubicin,thyroid neoplasms
doxorubicin,urinary bladder cancer
doxorubicin,breast cancer
doxorubicin,malignancy
doxorubicin,ovarian neoplasm
doxorubicin,ovarian neoplasm
doxorubicin,thyroid neoplasms
doxorubicin,testicular neoplasms
doxorubicin,lung neoplasms
doxorubicin,multiple myeloma
doxorubicin,mesothelioma
doxorubicin,lung neoplasms
doxorubicin,liver neoplasms
doxorubicin,liver neoplasms
doxorubicin,osteosarcoma
doxorubicin,peripheral nervous system neoplasm
doxorubicin,acquired immunodeficiency syndrome
doxorubicin,hodgkin disease
doxorubicin,uterine neoplasms
doxorubicin,kidney neoplasm
doxorubicin,hematologic cancer
doxorubicin,prostatic neoplasms
doxorubicin,soft tissue neoplasms
epirubicin,testicular neoplasms
epirubicin,breast cancer
epirubicin,malignancy
epirubicin,sarcoma
epirubicin,ovarian neoplasm
epirubicin,thyroid neoplasms
epirubicin,not_found
epirubicin,urinary bladder cancer
epirubicin,liver neoplasms
epirubicin,hematologic cancer
epirubicin,uterine cancer
epirubicin,stomach cancer
epirubicin,prostatic neoplasms
epirubicin,pancreatic neoplasm
epirubicin,peripheral nervous system neoplasm
epirubicin,acquired immunodeficiency syndrome
eribulin,breast cancer
floxuridine,colorectal neoplasms
floxuridine,stomach cancer
floxuridine,malignancy
flucytosine,meningitis cryptococcal
flucytosine,chromoblastomycosis
flucytosine,aspergillosis
flucytosine,candidiasis
fludarabine,hematologic cancer
fludarabine,lymphatic system cancer
gemcitabine,breast cancer
gemcitabine,kidney neoplasm
gemcitabine,lung neoplasms
gemcitabine,hematologic cancer
gemcitabine,pancreatic neoplasm
gemcitabine,urinary bladder cancer
idarubicin,breast cancer
idarubicin,lymphoma
idarubicin,malignancy
idarubicin,leukemias
idarubicin,hematologic cancer
ifosfamide,testicular neoplasms
ifosfamide,pancreatic neoplasm
ifosfamide,hodgkin disease
ifosfamide,lymphoma
ifosfamide,malignancy
ifosfamide,lung neoplasms
ifosfamide,leukemias
ifosfamide,sarcoma
ifosfamide,testicular neoplasms
ifosfamide,ovarian neoplasm
ifosfamide,hematologic cancer
ifosfamide,germ cell cancer
irinotecan,breast cancer
irinotecan,colon cancer
irinotecan,lung neoplasms
irinotecan,hematologic cancer
irinotecan,stomach cancer
irinotecan,pancreatic neoplasm
ixabepilone,breast cancer
mechlorethamine,hodgkin disease
mechlorethamine,malignancy
mechlorethamine,neoplasm metastasis
mechlorethamine,mycosis fungoides
mechlorethamine,hematologic cancer
mechlorethamine,lymphatic system cancer
melphalan,breast cancer
melphalan,neuroblastoma
melphalan,malignancy
melphalan,sarcoma
melphalan,ovarian neoplasm
melphalan,ovarian neoplasm
melphalan,not_found
melphalan,melanoma
melphalan,hematologic cancer
melphalan,skin cancer
melphalan,multiple myeloma
melphalan,peripheral nervous system neoplasm
melphalan,rhabdomyosarcoma
mitomycin,pancreatic neoplasm
mitomycin,adenocarcinoma
mitomycin,malignancy
mitomycin,glaucoma
mitomycin,colorectal neoplasms
mitomycin,stomach cancer
mitomycin,urinary bladder cancer
mitoxantrone,breast cancer
mitoxantrone,malignancy
mitoxantrone,lymphoma
mitoxantrone,multiple sclerosis
mitoxantrone,sarcoma
mitoxantrone,leukemias
mitoxantrone,pain
mitoxantrone,sarcoma
mitoxantrone,multiple sclerosis
mitoxantrone,hematologic cancer
mitoxantrone,prostatic neoplasms
mitoxantrone,lymphatic system cancer
mitoxantrone,prostatic neoplasms
nelarabine,hematologic cancer
pegaspargase,acute lymphocytic leukemia
pomalidomide,multiple myeloma
pralatrexate,lymphoma
romidepsin,t-cell-lymphoma
streptozocin,hodgkin disease
streptozocin,hematologic cancer
streptozocin,colorectal neoplasms
streptozocin,pancreatic endocrine neoplasm
temsirolimus,kidney neoplasm
thioguanine,psoriasis
thioguanine,leukemias
thiotepa,adenocarcinoma
thiotepa,breast cancer
thiotepa,lymphoma
thiotepa,malignancy
thiotepa,sarcoma
thiotepa,sarcoma
thiotepa,ovarian neoplasm
thiotepa,hematologic cancer
thiotepa,urinary bladder cancer
tiagabine,epilepsy syndrome
tiagabine,bipolar disorder
tipiracil,colon cancer
topotecan,non small cell lung cancer
topotecan,cervical cancer
topotecan,ovarian neoplasm
topotecan,ovarian neoplasm
topotecan,lung neoplasms
topotecan,carcinoma small cell
topotecan,peripheral nervous system neoplasm
topotecan,small cell carcinoma of lung
topotecan,uterine cervical neoplasm
trabectedin,sarcoma
trabectedin,ovarian neoplasm
valrubicin,urinary bladder cancer
vinblastine,testicular neoplasms
vinblastine,kidney neoplasm
vinblastine,hodgkin disease
vinblastine,breast cancer
vinblastine,malignancy
vinblastine,lung neoplasms
vinblastine,mycosis fungoides
vinblastine,kidney neoplasm
vinblastine,testicular neoplasms
vinblastine,lung neoplasms
vinblastine,hematologic cancer
vinblastine,histiocytosis
vinblastine,idiopathic thrombocytopenic purpura
vinblastine,germ cell cancer
vinblastine,head and neck cancer
vinblastine,head and neck cancer
vinblastine,kaposi sarcoma
vinblastine,choriocarcinoma
vincristine,hodgkin disease
vincristine,colon cancer
vincristine,neuroblastoma
vincristine,lymphoma
vincristine,sarcoma
vincristine,leukemias
vincristine,kidney neoplasm
vincristine,not_found
vincristine,nephroblastoma
vincristine,hematologic cancer
vincristine,lymphatic system cancer
vincristine,peripheral nervous system neoplasm
vincristine,rhabdomyosarcoma
vinorelbine,lung neoplasms
vinorelbine,breast cancer
vinorelbine,ovarian neoplasm
vinorelbine,hematologic cancer
vorinostat,hematologic cancer
vorinostat,lymphoma
ezetimibe,atherosclerosis
ezetimibe,coronary artery disease
methacholine,bronchial hyperreactivity
carbachol,glaucoma
carbachol,glaucoma
echothiophate,refractive error
echothiophate,esotropia
echothiophate,glaucoma
echothiophate,glaucoma
echothiophate,glaucoma
rivastigmine,alzheimers disease
rivastigmine,parkinsons disease
donepezil,alzheimers disease
galantamine,alzheimers disease
galantamine,alzheimers disease
memantine,alzheimers disease
memantine,parkinsons disease
memantine,alzheimers disease
neostigmine,urinary retention
neostigmine,myasthenia gravis
chorionic gonadotropin,infertility
clonidine,urinary tract infection
clonidine,not_found
clonidine,alcoholism
clonidine,restless legs syndrome
clonidine,dysmenorrhea
clonidine,sialorrhea
clonidine,attention deficit hyperactivity disorder
clonidine,muscle spasticity
clonidine,opioid withdrawal
clonidine,hot flushes
clonidine,pain
clonidine,hypertension
clonidine,glaucoma
clonidine,glaucoma
clonidine,attention deficit hyperactive disorder
clonidine,diarrhea
clonidine,tourette syndrome
clonidine,hypertension
clonidine,tourette syndrome
colchicine,primary biliary cirrhosis
colchicine,gout
colchicine,amyloidosis
colchicine,gout
colchicine,systemic scleroderma
colchicine,biliary cirrhosis
colchicine,familial mediterranean fever
copper,pregnancy
alclometasone,dermatitis
alclometasone,dermatoses
alclometasone,inflammation
amcinonide,rash
beclomethasone,asthma
beclomethasone,asthma
beclomethasone,rhinitis
beclomethasone,inflammation
beclomethasone,psoriasis
beclomethasone,nasal polyps
betamethasone,rheumatoid arthritis
betamethasone,anal pruritus
betamethasone,hypertension
betamethasone,ankylosing spondylitis
betamethasone,ulcerative colitis
betamethasone,psoriasis
betamethasone,breast cancer
betamethasone,colon cancer
betamethasone,allergic rhinitis
betamethasone,asthma
betamethasone,multiple sclerosis
betamethasone,anemia
betamethasone,not_found
betamethasone,psoriasis
betamethasone,psoriatic arthritis
betamethasone,seborrheic dermatitis
betamethasone,systemic lupus erythematosus
betamethasone,dermatitis atopic
betamethasone,kidney neoplasm
betamethasone,hematologic cancer
betamethasone,inflammation
betamethasone,prostatic neoplasms
betamethasone,dermatoses
betamethasone,atopic dermatitis
budesonide,inflammatory bowel diseases
budesonide,asthma
budesonide,asthma
budesonide,rhinitis
budesonide,ulcerative colitis
budesonide,nasal polyps
ciclesonide,asthma
clocortolone,clocortolone
corticotropin,nephrotic syndrome
corticotropin,collagen diseases
corticotropin,sarcoidosis
corticotropin,multiple sclerosis
corticotropin,erythema multiforme
corticotropin,optic neuritis
corticotropin,rheumatism
corticotropin,west syndrome
corticotropin,uveitis
corticotropin,serum sickness
cortisone,dermatomyositis
cortisone,pemphigus
cortisone,thyroiditis
cortisone,arthritis gouty
cortisone,leukemias
cortisone,iritis
cortisone,mycosis fungoides
cortisone,adrenal insufficiency
cortisone,ulcerative colitis
cortisone,psoriasis
cortisone,hypercalcemia
cortisone,sarcoidosis
cortisone,rheumatoid arthritis
cortisone,idiopathic thrombocytopenic purpura
cortisone,ankylosing spondylitis
cortisone,bursitis
cortisone,asthma
cortisone,berylliosis
cortisone,systemic lupus erythematosus
cortisone,rheumatism
cortisone,keratitis
cortisone,dermatitis herpetiformis
cortisone,exfoliative dermatitis
cortisone,seborrheic dermatitis
cortisone,nephrotic syndrome
cortisone,tuberculosis
cortisone,dermatitis atopic
cortisone,rhinitis
cortisone,choroiditis
cortisone,erythema multiforme
cortisone,collagen diseases
deflazacort,not_found
deflazacort,duchenne muscular dystrophy
desonide,pruritis
desonide,dermatoses
desonide,inflammation
desoximetasone,pruritis
desoximetasone,dermatoses
desoximetasone,inflammation
diflorasone,pruritis
diflorasone,dermatoses
diflorasone,inflammation
difluprednate,occular inflamation
fluocinolone acetonide,pruritis
fluocinolone acetonide,dermatoses
fluocinolone acetonide,inflammation
fluocinonide,pruritis
fluocinonide,inflammation
fluocinonide,psoriasis
fluocinonide,dermatoses
fluocinonide,atopic dermatitis
flurandrenolide,dermatoses
flurandrenolide,inflammation
"fluti, bacterial infectionscasone",asthma
"fluti, bacterial infectionscasone",chronic obstructive pulmonary disease
"fluti, bacterial infectionscasone furoate",asthma
"fluti, bacterial infectionscasone furoate",chronic obstructive pulmonary disease
halcinonide,pruritis
halcinonide,inflammation
halcinonide,psoriasis
halcinonide,dermatoses
halcinonide,atopic dermatitis
halobetasol,pruritis
halobetasol,inflammation
halobetasol,psoriasis
halobetasol,dermatoses
halobetasol,atopic dermatitis
hydrocortisone,rheumatoid arthritis
hydrocortisone,gout
hydrocortisone,anal pruritus
hydrocortisone,hemorrhoids
hydrocortisone,status asthmaticus
hydrocortisone,adrenal insufficiency
hydrocortisone,ulcerative colitis
hydrocortisone,ulcerative colitis
hydrocortisone,allergic rhinitis
hydrocortisone,asthma
hydrocortisone,psoriasis
hydrocortisone,contact dermatitis
hydrocortisone,shock
hydrocortisone,congenital adrenal hyperplasia
hydrocortisone,rheumatism
hydrocortisone,systemic lupus erythematosus
hydrocortisone,kidney neoplasm
hydrocortisone,inflammation
hydrocortisone,prostatic neoplasms
hydrocortisone,dermatoses
hydrocortisone,atopic dermatitis
hydrocortisone butyrate,rheumatoid arthritis
hydrocortisone butyrate,gout
hydrocortisone butyrate,anal pruritus
hydrocortisone butyrate,hemorrhoids
hydrocortisone butyrate,status asthmaticus
hydrocortisone butyrate,adrenal insufficiency
hydrocortisone butyrate,ulcerative colitis
hydrocortisone butyrate,ulcerative colitis
hydrocortisone butyrate,allergic rhinitis
hydrocortisone butyrate,asthma
hydrocortisone butyrate,psoriasis
hydrocortisone butyrate,contact dermatitis
hydrocortisone butyrate,shock
hydrocortisone butyrate,congenital adrenal hyperplasia
hydrocortisone butyrate,rheumatism
hydrocortisone butyrate,systemic lupus erythematosus
hydrocortisone butyrate,kidney neoplasm
hydrocortisone butyrate,inflammation
hydrocortisone butyrate,prostatic neoplasms
hydrocortisone butyrate,dermatoses
hydrocortisone butyrate,atopic dermatitis
loteprednol,edema
loteprednol,allergic conjunctivitis
loteprednol,rosacea
loteprednol,iritis
loteprednol,bacterial conjunctivitis
loteprednol,inflammation
loteprednol,viral conjunctivitis
loteprednol,keratitis
loteprednol etabonate,edema
loteprednol etabonate,allergic conjunctivitis
loteprednol etabonate,rosacea
loteprednol etabonate,iritis
loteprednol etabonate,bacterial conjunctivitis
loteprednol etabonate,inflammation
loteprednol etabonate,viral conjunctivitis
loteprednol etabonate,keratitis
mometasone,asthma
mometasone,rhinitis
mometasone,pruritis
mometasone,inflammation
mometasone,systemic scleroderma
mometasone,dermatoses
mometasone,atopic dermatitis
prednicarbate,pruritis
prednicarbate,inflammation
prednicarbate,psoriasis
prednicarbate,dermatoses
prednicarbate,atopic dermatitis
prednisolone,chronic obstructive pulmonary disease
prednisolone,rheumatoid arthritis
prednisolone,gout
prednisolone,allergic rhinitis
prednisolone,asthma
prednisolone,multiple sclerosis
prednisolone,psoriatic arthritis
prednisolone,systemic lupus erythematosus
prednisolone,hematologic cancer
prednisolone,ankylosing spondylitis
prednisolone,anemia
prednisolone,idiopathic pulmonary fibrosis
prednisolone,psoriasis
prednisolone,ulcerative colitis
prednisolone,atopic dermatitis
prednisone,dermatomyositis
prednisone,pemphigus
prednisone,rheumatoid arthritis
prednisone,thyroiditis
prednisone,lymphoma
prednisone,gout
prednisone,arthritis gouty
prednisone,leukemias
prednisone,iritis
prednisone,multiple sclerosis
prednisone,synovitis
prednisone,neuralgia
prednisone,ankylosing spondylitis
prednisone,adrenal insufficiency
prednisone,serum sickness
prednisone,ulcerative colitis
prednisone,ulcerative colitis
prednisone,hypercalcemia
prednisone,allergic conjunctivitis
prednisone,multiple sclerosis
prednisone,sarcoidosis
prednisone,asthma
prednisone,rheumatoid arthritis
prednisone,crohns disease
prednisone,idiopathic thrombocytopenic purpura
prednisone,anemia
prednisone,autoimmune hemolytic anemia
prednisone,psoriasis
prednisone,osteoarthritis
prednisone,ankylosing spondylitis
prednisone,graft-vs-host disease
prednisone,contact dermatitis
prednisone,chronic obstructive pulmonary disease
prednisone,bursitis
prednisone,asthma
prednisone,berylliosis
prednisone,psoriatic arthritis
prednisone,systemic lupus erythematosus
prednisone,arthritis psoriatic
prednisone,rheumatism
prednisone,migraine
prednisone,dermatitis herpetiformis
prednisone,nephrotic syndrome
prednisone,seborrheic dermatitis
prednisone,tuberculosis
prednisone,systemic lupus erythematosus
prednisone,dermatitis atopic
prednisone,rhinitis
prednisone,erythema multiforme
prednisone,hematologic cancer
prednisone,inflammation
prednisone,prostatic neoplasms
prednisone,systemic scleroderma
prednisone,collagen diseases
prednisone,atopic dermatitis
beclometasone,asthma
beclometasone,chronic obstructive pulmonary disease
fludrocortisone,parkinsons disease
fludrocortisone,adrenal gland hyperfunction
fludrocortisone,addison disease
dexamethasone,pemphigus
dexamethasone,rheumatoid arthritis
dexamethasone,thyroiditis
dexamethasone,gout
dexamethasone,arthritis gouty
dexamethasone,leukemias
dexamethasone,synovitis
dexamethasone,multiple sclerosis
dexamethasone,mycosis fungoides
dexamethasone,ankylosing spondylitis
dexamethasone,adrenal insufficiency
dexamethasone,hematological disease
dexamethasone,ulcerative colitis
dexamethasone,ulcerative colitis
dexamethasone,hypercalcemia
dexamethasone,allergic rhinitis
dexamethasone,sarcoidosis
dexamethasone,asthma
dexamethasone,rheumatoid arthritis
dexamethasone,neurologic manifestations
dexamethasone,multiple sclerosis
dexamethasone,brain neoplasms
dexamethasone,anemia
dexamethasone,not_found
dexamethasone,osteoarthritis
dexamethasone,ankylosing spondylitis
dexamethasone,graft-vs-host disease
dexamethasone,asthma
dexamethasone,berylliosis
dexamethasone,psoriatic arthritis
dexamethasone,systemic lupus erythematosus
dexamethasone,rheumatism
dexamethasone,uveitis
dexamethasone,dermatitis herpetiformis
dexamethasone,nephrotic syndrome
dexamethasone,tuberculosis
dexamethasone,systemic lupus erythematosus
dexamethasone,dermatitis atopic
dexamethasone,erythema multiforme
dexamethasone,hematologic cancer
dexamethasone,inflammation
dexamethasone,acute respiratory distress syndrome
dexamethasone,serum sickness
dexamethasone,atopic dermatitis
methylprednisolone,pemphigus
methylprednisolone,rheumatoid arthritis
methylprednisolone,thyroiditis
methylprednisolone,gout
methylprednisolone,arthritis gouty
methylprednisolone,leukemias
methylprednisolone,synovitis
methylprednisolone,multiple sclerosis
methylprednisolone,mycosis fungoides
methylprednisolone,ankylosing spondylitis
methylprednisolone,adrenal insufficiency
methylprednisolone,hematological disease
methylprednisolone,ulcerative colitis
methylprednisolone,ulcerative colitis
methylprednisolone,hypercalcemia
methylprednisolone,allergic rhinitis
methylprednisolone,sarcoidosis
methylprednisolone,asthma
methylprednisolone,rheumatoid arthritis
methylprednisolone,neurologic manifestations
methylprednisolone,multiple sclerosis
methylprednisolone,brain neoplasms
methylprednisolone,anemia
methylprednisolone,not_found
methylprednisolone,osteoarthritis
methylprednisolone,ankylosing spondylitis
methylprednisolone,graft-vs-host disease
methylprednisolone,asthma
methylprednisolone,berylliosis
methylprednisolone,psoriatic arthritis
methylprednisolone,systemic lupus erythematosus
methylprednisolone,rheumatism
methylprednisolone,uveitis
methylprednisolone,dermatitis herpetiformis
methylprednisolone,nephrotic syndrome
methylprednisolone,tuberculosis
methylprednisolone,systemic lupus erythematosus
methylprednisolone,dermatitis atopic
methylprednisolone,erythema multiforme
methylprednisolone,hematologic cancer
methylprednisolone,inflammation
methylprednisolone,acute respiratory distress syndrome
methylprednisolone,serum sickness
methylprednisolone,atopic dermatitis
benzonatate,cough
dextromethorphan,multiple sclerosis
dextromethorphan,amyotrophic lateral sclerosis
dextromethorphan,cough
guaifenesin,laryngitis
guaifenesin,sinusitis
guaifenesin,bronchitis
guaifenesin,cough
guaifenesin,rhinitis
guaifenesin,pharyngitis
guaifenesin,common cold
guaifenesin,pertussis
sodium chloride,not_found
celecoxib,rheumatoid arthritis
celecoxib,colon cancer
celecoxib,systemic lupus erythematosus
celecoxib,kidney neoplasm
celecoxib,hematologic cancer
celecoxib,ankylosing spondylitis
celecoxib,prostatic neoplasms
celecoxib,systemic scleroderma
celecoxib,osteoarthritis
crofelemer,diarrhea
crotamiton,scabies
cupric chloride,not_found
ribociclib,metastatic breast cancer
cysteamine,cystinosis
dapsone,lepromatous leprosy
dapsone,lepromatous leprosy
dapsone,polychondritis relapsing
dapsone,systemic lupus erythematosus
dapsone,malaria
dapsone,malaria
dapsone,toxoplasmosis
dapsone,dermatitis herpetiformis
desmopressin,diabetes insipidus
desmopressin,hemophilia a
desmopressin,von willebrand disease
bismuth,dysentery bacterial
bismuth,nausea
bismuth,virus diseases
bismuth,diarrhea
bismuth,stomach diseases
bismuth,escherichia coli
bismuth,helicobacter pylori
calcipotriene,psoriasis
capsaicin,neuralgia
capsaicin,pain
capsaicin,diabetic neuropathy
capsaicin,herpes zoster
ciclopirox,topical antifungal
clobetasol,dermatitis
clobetasol,dermatoses
clobetasol,inflammation
collagenase,not_found
fluocinolone,not_found
fluorouracil,pancreatic neoplasm
fluorouracil,breast cancer
fluorouracil,basal cell carcinoma
fluorouracil,colon cancer
fluorouracil,malignancy
fluorouracil,colorectal neoplasms
fluorouracil,urinary bladder cancer
fluorouracil,keratosis
fluorouracil,skin cancer
fluorouracil,rectal neoplasms
fluorouracil,stomach cancer
fluorouracil,head and neck cancer
fluorouracil,pancreatic neoplasm
fluorouracil,head and neck cancer
imiquimod,skin cancer
menthol,pain
mupirocin,impetigo
mupirocin,atopic dermatitis
pimecrolimus,atopic dermatitis
pimecrolimus,dermatitis atopic
pramoxine,pruritis
salicylic acid,psoriasis
selenium,not_found
selenium sulfide,dandruff
selenium sulfide,seborrheic dermatitis
silver sulfadiazine,wound infection
talc,pneumothorax
talc,pleural effusion
triamcinolone,pemphigus
triamcinolone,rheumatoid arthritis
triamcinolone,thyroiditis
triamcinolone,arthritis gouty
triamcinolone,synovitis
triamcinolone,multiple sclerosis
triamcinolone,bronchospasm
triamcinolone,ankylosing spondylitis
triamcinolone,adrenal insufficiency
triamcinolone,ulcerative colitis
triamcinolone,ulcerative colitis
triamcinolone,hypercalcemia
triamcinolone,allergic rhinitis
triamcinolone,asthma
triamcinolone,epilepsy syndrome
triamcinolone,rheumatoid arthritis
triamcinolone,alopecia areata
triamcinolone,multiple sclerosis
triamcinolone,anemia
triamcinolone,not_found
triamcinolone,psoriasis
triamcinolone,ankylosing spondylitis
triamcinolone,asthma
triamcinolone,berylliosis
triamcinolone,psoriatic arthritis
triamcinolone,systemic lupus erythematosus
triamcinolone,rheumatism
triamcinolone,uveitis
triamcinolone,dermatitis herpetiformis
triamcinolone,anemia hemolytic
triamcinolone,nephrotic syndrome
triamcinolone,tuberculosis
triamcinolone,systemic lupus erythematosus
triamcinolone,dermatitis atopic
triamcinolone,rhinitis
triamcinolone,erythema multiforme
triamcinolone,hematologic cancer
triamcinolone,inflammation
triamcinolone,serum sickness
triamcinolone,dermatoses
triamcinolone,atopic dermatitis
deutetrabenazine,chorea
dexrazoxane,breast cancer
dexrazoxane,malignancy
icodextrin,not_found
diatrizoate,male urogenital diseases
diatrizoate,cardiovascular diseases
diatrizoate,liver diseases
diatrizoate,musculoskeletal diseases
diatrizoate,not_found
diatrizoate,biliary tract diseases
digoxin,congestive heart failure
digoxin,atrial fibrillation
digoxin,atrial fibrillation
digoxin,dilated cardiomyopathy
digoxin,atrial flutter
digoxin,shock cardiogenic
digoxin,heart failure with reduced ejection fraction
digoxin,coronary artery disease
digoxin,paroxysmal supraventricular tachycardia
digoxin,supraventricular tachycardia
digoxin,anxiety
dimethyl sulfoxide,not_found
disulfiram,alcohol dependence
disulfiram,alcoholism
ethacrynic acid,chronic kidney failure
ethacrynic acid,edema
ethacrynic acid,congestive heart failure
ethacrynic acid,nephrotic syndrome
ethacrynic acid,acute kidney injury
ethacrynic acid,pulmonary edema
ethacrynic acid,hypertension
ethacrynic acid,ascites
ethacrynic acid,liver cirrhosis
amiloride,cystic fibrosis
amiloride,edema
amiloride,congestive heart failure
amiloride,hypokalemia
amiloride,polyuria
amiloride,hypertension
amiloride,hypertension
amiloride,ascites
abatacept,not_found
apremilast,not_found
leflunomide,systemic scleroderma
leflunomide,rheumatoid arthritis
leflunomide,systemic lupus erythematosus
dornase alfa,not_found
cabergoline,parkinsons disease
carbidopa,alzheimers disease
carbidopa,parkinsons disease
carbidopa,parkinsons disease
carbidopa,restless legs syndrome
dopamine,heart block
dopamine,kidney diseases
dopamine,shock
dopamine,hypertension
dopamine,hypotension
dopamine,bradycardia
dopamine,heart failure with reduced ejection fraction
dopamine,coronary artery disease
methyldopa,hypertension
methyldopa,hypertension
methyldopa (levorotatory),not_found
methyldopate,hypertension
methyldopate,hypertension
fenoldopam,congestive heart failure
fenoldopam,hypertension
fenoldopam,hypertension renovascular
fenoldopam,malignancy
doxapram,respiratory hypersensitivity
doxapram,respiratory insufficiency
doxapram,hypercapnia
alogliptin,not_found
linagliptin,diabetes mellitus
linagliptin,diabetes mellitus
saxagliptin,not_found
sitagliptin,diabetes mellitus
dyclonine,sore throat
edaravone,stroke
edaravone,amyotrophic lateral sclerosis
edetate calcium,not_found
eflornithine,hypertrichosis
eflornithine,african trypanosomiasis
eliglustat,gaucher disease
eltrombopag,thrombocytopenia
eltrombopag,aplastic anemia
ambrisentan,pulmonary artery hypertension
bosentan,pulmonary artery hypertension
macitentan,pulmonary artery hypertension
asfotase alfa,hypophosphatesia
asparaginase,acute lymphocytic leukemia
cerliponase,batten disease
rasburicase,hyperuricemia
rasburicase,tumor lysis syndrome
sacrosidase,not_found
sacrosidase,not_found
taliglucerase alfa,gaucher disease
elosulfase alfa,morquio syndrome
galsulfase,mucopolysaccharidosis
idursulfase,hunter syndrome
imiglucerase,gaucher disease
laronidase,mucopolysaccharidosis i
pegademase bovine,adenosine deaminase deficiency
pegloticase,gout
epinephrine,anaphylaxis
epinephrine,heart block
epinephrine,allergic rhinitis
epinephrine,asthma
epinephrine,hypotension
epinephrine,ventricular fibrillation
epinephrine,ventricular fibrillation
epinephrine,glaucoma
epinephrine,bronchospasm
epinephrine,bradycardia
epinephrine,airway obstruction
epinephrine,glaucoma
epinephrine,cardiac arrest
epinephrine,septic shock
epinephrine,ventricular tachycardia
"ergoloid mesylates, usp",dementia
dihydroergotamine,xerostomia
dihydroergotamine,headache
dihydroergotamine,postpartum hemorrhage
